,ID,Artist,Title,Image URL,Painting Info URL,Artist Info URL,name,artist,artist_1,artist_name,artist_name_1,content_id
86,57727ec7edc2cb3880ec220c,Yannoulis Chalepas,"Mercury, Venus and Pegasus",https://uploads1.wikiart.org/images/yannoulis-chalepas/mercury-venus-and-pegasus-1933.jpg,https://www.wikiart.org/en/yannoulis-chalepas/mercury-venus-and-pegasus-1933,https://www.wikiart.org/en/yannoulis-chalepas,mercury-venus-and-pegasus-1933.jpg,yannoulis-chalepas,yannoulis-chalepas,yannoulis-chalepas,yannoulis-chalepas,281987
88,57726e43edc2cb3880b694c1,Pieter Bruegel the Elder,Parable of the Blind,https://uploads2.wikiart.org/images/pieter-bruegel-the-elder/parable-of-the-blind-1568.jpg,https://www.wikiart.org/en/pieter-bruegel-the-elder/parable-of-the-blind-1568,https://www.wikiart.org/en/pieter-bruegel-the-elder,parable-of-the-blind-1568.jpg,pieter-bruegel-the-elder,pieter-bruegel-the-elder,pieter-bruegel-the-elder,pieter-bruegel-the-elder,186831
89,577282e6edc2cb3880f940ee,Brassai,"Couple kissing under the Pont au Double, Paris",https://uploads1.wikiart.org/images/brassai/couple-kissing-under-the-pont-au-double-paris-1935.jpg,https://www.wikiart.org/en/brassai/couple-kissing-under-the-pont-au-double-paris-1935,https://www.wikiart.org/en/brassai,couple-kissing-under-the-pont-au-double-paris-1935.jpg,brassai,brassai,brassai,brassai,305439
96,577280e0edc2cb3880f28f46,Patrick Caulfield,Still Life with Dagger,https://uploads6.wikiart.org/images/patrick-caulfield/still-life-with-dagger-1963.jpg,https://www.wikiart.org/en/patrick-caulfield/still-life-with-dagger-1963,https://www.wikiart.org/en/patrick-caulfield,still-life-with-dagger-1963.jpg,patrick-caulfield,patrick-caulfield,patrick-caulfield,patrick-caulfield,293792
97,577281f5edc2cb3880f62505,F&#233;lix Del Marle,Study for a portrait of Jean Dupr&#233;,https://uploads6.wikiart.org/images/f-lix-del-marle/study-for-a-portrait-of-jean-dupr-1913.jpg,https://www.wikiart.org/en/f-lix-del-marle/study-for-a-portrait-of-jean-dupr-1913,https://www.wikiart.org/en/f-lix-del-marle,study-for-a-portrait-of-jean-dupr-1913.jpg,f-lix-del-marle,f&#233;lix-del-marle,f-lix-del-marle,f&#233;lix-del-marle,300055
100,577277bbedc2cb3880d58903,Jean Arp,Human Concretion,https://uploads4.wikiart.org/images/jean-arp/human-concretion.jpg,https://www.wikiart.org/en/jean-arp/human-concretion,https://www.wikiart.org/en/jean-arp,human-concretion.jpg,jean-arp,jean-arp,jean-arp,jean-arp,242987
103,57727bd5edc2cb3880e2c5b4,Barnett Newman,Midnight Blue,https://uploads7.wikiart.org/images/barnett-newman/not-detected-265181(1).jpg,https://www.wikiart.org/en/barnett-newman/not-detected-265181,https://www.wikiart.org/en/barnett-newman,not-detected-265181(1).jpg,barnett-newman,barnett-newman,barnett-newman,barnett-newman,265181
105,57728415edc2cb3880fca3b5,Artemisia Gentileschi,An Allegory of Peace and the Arts under the English Crown,https://uploads0.wikiart.org/images/artemisia-gentileschi/an-allegory-of-peace-and-the-arts-under-the-english-crown-1638.jpg,https://www.wikiart.org/en/artemisia-gentileschi/an-allegory-of-peace-and-the-arts-under-the-english-crown-1638,https://www.wikiart.org/en/artemisia-gentileschi,an-allegory-of-peace-and-the-arts-under-the-english-crown-1638.jpg,artemisia-gentileschi,artemisia-gentileschi,artemisia-gentileschi,artemisia-gentileschi,312079
108,593467a4edc2c9b408c15286,Stanisław Wyspiański,Portret Pagaczewskiego,https://uploads1.wikiart.org/00135/images/stanislaw-wyspianski/wyspia-ski-portret-pagaczewskiego-1904.jpg,https://www.wikiart.org/en/stanislaw-wyspianski/wyspianski-portret-pagaczewskiego-1904,https://www.wikiart.org/en/stanislaw-wyspianski,wyspia-ski-portret-pagaczewskiego-1904.jpg,stanislaw-wyspianski,stanisław-wyspiański,stanislaw-wyspianski,stanisław-wyspiański,9223372032559821143
118,57728794edc2cb3880077e35,Gianni Piacentino,Dull-Amaranth Disk,https://uploads2.wikiart.org/images/gianni-piacentino/dull-amaranth-disk-1966.jpg,https://www.wikiart.org/en/gianni-piacentino/dull-amaranth-disk-1966,https://www.wikiart.org/en/gianni-piacentino,dull-amaranth-disk-1966.jpg,gianni-piacentino,gianni-piacentino,gianni-piacentino,gianni-piacentino,333163
119,57727dd8edc2cb3880e90c81,Adriaen van de Venne,Fishing for Souls,https://uploads8.wikiart.org/images/adriaen-van-de-venne/fishing-for-souls.jpg,https://www.wikiart.org/en/adriaen-van-de-venne/fishing-for-souls,https://www.wikiart.org/en/adriaen-van-de-venne,fishing-for-souls.jpg,adriaen-van-de-venne,adriaen-van-de-venne,adriaen-van-de-venne,adriaen-van-de-venne,276762
121,58d32aededc2c998786cbeb5,Nina Tokhtaman Valetova,Infinity,https://uploads3.wikiart.org/00124/images/nina-tokhtaman-valetova/infinity-72x65-5-cmxcm-2007-3.jpg,https://www.wikiart.org/en/nina-tokhtaman-valetova/infinity-2007,https://www.wikiart.org/en/nina-tokhtaman-valetova,infinity-72x65-5-cmxcm-2007-3.jpg,nina-tokhtaman-valetova,nina-tokhtaman-valetova,nina-tokhtaman-valetova,nina-tokhtaman-valetova,9223372032559813489
123,5772797dedc2cb3880db565a,Nikolai Ge,Peter the Great Interrogating the Tsarevich Alexei Petrovich at Peterhof,https://uploads8.wikiart.org/images/nikolai-ge/peter-the-great-interrogating-the-tsarevich-alexei-petrovich-at-peterhof.jpg,https://www.wikiart.org/en/nikolai-ge/peter-the-great-interrogating-the-tsarevich-alexei-petrovich-at-peterhof,https://www.wikiart.org/en/nikolai-ge,peter-the-great-interrogating-the-tsarevich-alexei-petrovich-at-peterhof.jpg,nikolai-ge,nikolai-ge,nikolai-ge,nikolai-ge,252991
125,59ae559cedc2c9cdd86c5224,Quentin Matsys,An Old Woman (The Ugly Duchess),https://uploads3.wikiart.org/00148/images/quentin-matsys/quinten-massys-an-old-woman-the-ugly-duchess-google-art-project.jpg,https://www.wikiart.org/en/quentin-matsys/an-old-woman-the-ugly-duchess,https://www.wikiart.org/en/quentin-matsys,quinten-massys-an-old-woman-the-ugly-duchess-google-art-project.jpg,quentin-matsys,quentin-matsys,quentin-matsys,quentin-matsys,9223372032559823464
130,57728649edc2cb388003a837,Anne-Louis Girodet,The Sleep of Endymion,https://uploads0.wikiart.org/images/anne-louis-girodet/the-sleep-of-endymion-1791(1).jpg,https://www.wikiart.org/en/anne-louis-girodet/the-sleep-of-endymion-1791,https://www.wikiart.org/en/anne-louis-girodet,the-sleep-of-endymion-1791(1).jpg,anne-louis-girodet,anne-louis-girodet,anne-louis-girodet,anne-louis-girodet,324432
132,57726ff1edc2cb3880bc543b,Jacques-Louis David,"Napoleon Crossing the Alps at the St Bernard Pass, 20th May 1800",https://uploads3.wikiart.org/images/jacques-louis-david/napoleoncrossing-the-alps-at-the-st-bernard-pass-20th-may-1800-1801.jpg,https://www.wikiart.org/en/jacques-louis-david/napoleoncrossing-the-alps-at-the-st-bernard-pass-20th-may-1800-1801,https://www.wikiart.org/en/jacques-louis-david,napoleoncrossing-the-alps-at-the-st-bernard-pass-20th-may-1800-1801.jpg,jacques-louis-david,jacques-louis-david,jacques-louis-david,jacques-louis-david,197867
133,57727fa8edc2cb3880eeb2f0,Jo Baer,"Primary Light Group: Red, Green, Blue",https://uploads8.wikiart.org/images/jo-baer/primary-light-group-red-green-blue-1965.jpg,https://www.wikiart.org/en/jo-baer/primary-light-group-red-green-blue-1965,https://www.wikiart.org/en/jo-baer,primary-light-group-red-green-blue-1965.jpg,jo-baer,jo-baer,jo-baer,jo-baer,286541
135,58aae502edc2c923e4650705,Agostino Tassi,Naufragio Della Flotta Di Enea,https://uploads0.wikiart.org/00120/images/agostino-tassi/naufragio-della-flotta-di-enea-1627.jpg,https://www.wikiart.org/en/agostino-tassi/naufragio-della-flotta-di-enea-1627,https://www.wikiart.org/en/agostino-tassi,naufragio-della-flotta-di-enea-1627.jpg,agostino-tassi,agostino-tassi,agostino-tassi,agostino-tassi,9223372032559812318
144,577286e4edc2cb3880058c40,Wyndham Lewis,The Crowd,https://uploads7.wikiart.org/images/wyndham-lewis/the-crowd-1915.jpg,https://www.wikiart.org/en/wyndham-lewis/the-crowd-1915,https://www.wikiart.org/en/wyndham-lewis,the-crowd-1915.jpg,wyndham-lewis,wyndham-lewis,wyndham-lewis,wyndham-lewis,328375
146,5772831aedc2cb3880f9eb2d,Arman,Madison Avenue,https://uploads4.wikiart.org/images/arman/madison-avenue-1962.jpg,https://www.wikiart.org/en/arman/madison-avenue-1962,https://www.wikiart.org/en/arman,madison-avenue-1962.jpg,arman,arman,arman,arman,306694
150,5772883dedc2cb388009e2ed,Dora Maar,Candelabra,https://uploads4.wikiart.org/images/dora-maar/candelabra-1935.jpg,https://www.wikiart.org/en/dora-maar/candelabra-1935,https://www.wikiart.org/en/dora-maar,candelabra-1935.jpg,dora-maar,dora-maar,dora-maar,dora-maar,337391
152,57728562edc2cb388000f4ca,Antonio Canova,Paolina Borghese as Venus Victrix,https://uploads5.wikiart.org/images/antonio-canova/paolina-borghese-as-venus-victrix-1808.jpg,https://www.wikiart.org/en/antonio-canova/paolina-borghese-as-venus-victrix-1808,https://www.wikiart.org/en/antonio-canova,paolina-borghese-as-venus-victrix-1808.jpg,antonio-canova,antonio-canova,antonio-canova,antonio-canova,319195
153,57727e24edc2cb3880e9d0f3,Fyodor Alekseyev,North side of Red Square,https://uploads7.wikiart.org/images/fyodor-alekseyev/north-side-of-red-square-1802.jpg,https://www.wikiart.org/en/fyodor-alekseyev/north-side-of-red-square-1802,https://www.wikiart.org/en/fyodor-alekseyev,north-side-of-red-square-1802.jpg,fyodor-alekseyev,fyodor-alekseyev,fyodor-alekseyev,fyodor-alekseyev,278539
157,577284b1edc2cb3880fe913d,Gianfranco Baruchello,Micron salon doloricida,https://uploads2.wikiart.org/images/gianfranco-baruchello/micron-salon-doloricida-1962.jpg,https://www.wikiart.org/en/gianfranco-baruchello/micron-salon-doloricida-1962,https://www.wikiart.org/en/gianfranco-baruchello,micron-salon-doloricida-1962.jpg,gianfranco-baruchello,gianfranco-baruchello,gianfranco-baruchello,gianfranco-baruchello,315507
158,57726f0cedc2cb3880b945a5,Jean-Honore Fragonard,Blind Man’s Bluff,https://uploads0.wikiart.org/images/jean-honore-fragonard/the-blind-man-s-bluff-game.jpg,https://www.wikiart.org/en/jean-honore-fragonard/blind-man-s-bluff-1770-1,https://www.wikiart.org/en/jean-honore-fragonard,the-blind-man-s-bluff-game.jpg,jean-honore-fragonard,jean-honore-fragonard,jean-honore-fragonard,jean-honore-fragonard,192453
168,599c0674edc2c978fc5e2910,J&#243;zef Pankiewicz,Cart Loaded with Hay,https://uploads6.wikiart.org/00146/images/jozef-pankiewicz/pankiewicz-woz-z-sianem-1890.jpg,https://www.wikiart.org/en/jozef-pankiewicz/cart-loaded-with-hay-1890,https://www.wikiart.org/en/jozef-pankiewicz,pankiewicz-woz-z-sianem-1890.jpg,jozef-pankiewicz,j&#243;zef-pankiewicz,jozef-pankiewicz,j&#243;zef-pankiewicz,9223372032559823227
169,57726e5aedc2cb3880b6b708,Eugene Delacroix,Death of Sardanapalus,https://uploads2.wikiart.org/images/eugene-delacroix/the-death-of-sardanapalus-1827(1).jpg,https://www.wikiart.org/en/eugene-delacroix/death-of-sardanapalus-1827-1,https://www.wikiart.org/en/eugene-delacroix,the-death-of-sardanapalus-1827(1).jpg,eugene-delacroix,eugene-delacroix,eugene-delacroix,eugene-delacroix,187886
172,57728335edc2cb3880fa1785,Gosta Adrian-Nilsson,Komposition,https://uploads7.wikiart.org/images/gosta-adrian-nilsson/komposition-1950.jpg,https://www.wikiart.org/en/gosta-adrian-nilsson/komposition-1950,https://www.wikiart.org/en/gosta-adrian-nilsson,komposition-1950.jpg,gosta-adrian-nilsson,gosta-adrian-nilsson,gosta-adrian-nilsson,gosta-adrian-nilsson,307532
173,57728280edc2cb3880f7fa72,Sa Nogueira,Untitled,https://uploads4.wikiart.org/images/sa-nogueira/untitled-1970.jpg,https://www.wikiart.org/en/sa-nogueira/untitled-1970,https://www.wikiart.org/en/sa-nogueira,untitled-1970.jpg,sa-nogueira,sa-nogueira,sa-nogueira,sa-nogueira,303212
178,57727208edc2cb3880c39659,Rene Magritte,Collective Invention,https://uploads3.wikiart.org/images/rene-magritte/collective-invention-1934(1).jpg,https://www.wikiart.org/en/rene-magritte/collective-invention-1934,https://www.wikiart.org/en/rene-magritte,collective-invention-1934(1).jpg,rene-magritte,rene-magritte,rene-magritte,rene-magritte,211329
179,58d2ef9bedc2c99878a544f4,William Dobson,Portrait,https://uploads4.wikiart.org/00124/images/william-dobson/portrait-thought-to-be-judith-dobson-1634-1640-1.jpg,https://www.wikiart.org/en/william-dobson/portrait-thought-to-be-judith-dobson-1634-1640,https://www.wikiart.org/en/william-dobson,portrait-thought-to-be-judith-dobson-1634-1640-1.jpg,william-dobson,william-dobson,william-dobson,william-dobson,9223372032559813483
182,5772831eedc2cb3880f9f1b7,Morris Graves,Lotus,https://uploads3.wikiart.org/images/morris-graves/lotus-1945.jpg,https://www.wikiart.org/en/morris-graves/lotus-1945,https://www.wikiart.org/en/morris-graves,lotus-1945.jpg,morris-graves,morris-graves,morris-graves,morris-graves,306814
183,589c5342edc2cd40d4ab550b,Antoine-Jean Gros,Sappho at Leucate,https://uploads7.wikiart.org/00118/images/antoine-jean-gros/sappho-at-leucate-1801.jpg,https://www.wikiart.org/en/antoine-jean-gros/sappho-at-leucate-1801,https://www.wikiart.org/en/antoine-jean-gros,sappho-at-leucate-1801.jpg,antoine-jean-gros,antoine-jean-gros,antoine-jean-gros,antoine-jean-gros,9223372032559812137
185,57726ff3edc2cb3880bc56b7,Jacques-Louis David,The Death of Bara,https://uploads3.wikiart.org/images/jacques-louis-david/the-death-of-bara-1794.jpg,https://www.wikiart.org/en/jacques-louis-david/the-death-of-bara-1794,https://www.wikiart.org/en/jacques-louis-david,the-death-of-bara-1794.jpg,jacques-louis-david,jacques-louis-david,jacques-louis-david,jacques-louis-david,197942
190,57727fbbedc2cb3880eed035,Andre Masson,Pasiphae,https://uploads2.wikiart.org/images/andre-masson/pasiphae-2.jpg,https://www.wikiart.org/en/andre-masson/pasiphae-2,https://www.wikiart.org/en/andre-masson,pasiphae-2.jpg,andre-masson,andre-masson,andre-masson,andre-masson,287153
195,5772700eedc2cb3880bc828e,Francisco de Zurbaran,Angel with Incense,https://uploads7.wikiart.org/images/francisco-zurbaran/angel-with-incense.jpg,https://www.wikiart.org/en/francisco-de-zurbaran/angel-with-incense,https://www.wikiart.org/en/francisco-de-zurbaran,angel-with-incense.jpg,francisco-zurbaran,francisco-de-zurbaran,francisco-zurbaran,francisco-de-zurbaran,198621
196,577280dcedc2cb3880f288fe,Claes Oldenburg,Soft Drainpipe - Blue (Cool) Version,https://uploads5.wikiart.org/images/claes-oldenburg/soft-drainpipe-blue-cool-version-1967.jpg,https://www.wikiart.org/en/claes-oldenburg/soft-drainpipe-blue-cool-version-1967,https://www.wikiart.org/en/claes-oldenburg,soft-drainpipe-blue-cool-version-1967.jpg,claes-oldenburg,claes-oldenburg,claes-oldenburg,claes-oldenburg,293683
214,577284a3edc2cb3880fe7a87,Sven Lukin,Tucson,https://uploads1.wikiart.org/images/sven-lukin/tucson-1966.jpg,https://www.wikiart.org/en/sven-lukin/tucson-1966,https://www.wikiart.org/en/sven-lukin,tucson-1966.jpg,sven-lukin,sven-lukin,sven-lukin,sven-lukin,315108
215,57728046edc2cb3880f0a043,Mark Rothko,Rothko Chapel,https://uploads0.wikiart.org/images/mark-rothko/rothko-chapel-1967.jpg,https://www.wikiart.org/en/mark-rothko/rothko-chapel-1967,https://www.wikiart.org/en/mark-rothko,rothko-chapel-1967.jpg,mark-rothko,mark-rothko,mark-rothko,mark-rothko,290280
219,5772866cedc2cb3880042f75,Matsutani,A Position-A,https://uploads0.wikiart.org/images/matsutani/a-position-a-1972(1).jpg,https://www.wikiart.org/en/matsutani/a-position-a-1972,https://www.wikiart.org/en/matsutani,a-position-a-1972(1).jpg,matsutani,matsutani,matsutani,matsutani,325063
226,5899f083edc2c97aac9f967d,Anton Raphael Mengs,"Mar&#237;a Luisa of Parma, Princess of Asturias",https://uploads6.wikiart.org/00118/images/anton-raphael-mengs/mar-a-luisa-of-parma-princess-of-asturias-1765.jpg,https://www.wikiart.org/en/anton-raphael-mengs/maria-luisa-of-parma-princess-of-asturias-1765,https://www.wikiart.org/en/anton-raphael-mengs,mar-a-luisa-of-parma-princess-of-asturias-1765.jpg,anton-raphael-mengs,anton-raphael-mengs,anton-raphael-mengs,anton-raphael-mengs,9223372032559812094
227,57727ffdedc2cb3880efd8d9,Tivadar Kosztka Csontvary,Electric Station at Jajce at Night,https://uploads8.wikiart.org/images/tivadar-kosztka-csontvary/electric-station-at-jajce-at-night-1903.jpg,https://www.wikiart.org/en/tivadar-kosztka-csontvary/electric-station-at-jajce-at-night-1903,https://www.wikiart.org/en/tivadar-kosztka-csontvary,electric-station-at-jajce-at-night-1903.jpg,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,288445
230,5954fa6eedc2c93644c45189,Joseph Anton Koch,l&#39;inferno di dante,https://uploads4.wikiart.org/00139/images/joseph-anton-koch/joseph-anton-koch-l-inferno-di-dante-1825-penna-oinchiostro-marrone-e-nero-acquerello-e-gouache-01.jpg,https://www.wikiart.org/en/joseph-anton-koch/linferno-di-dante-1825,https://www.wikiart.org/en/joseph-anton-koch,joseph-anton-koch-l-inferno-di-dante-1825-penna-oinchiostro-marrone-e-nero-acquerello-e-gouache-01.jpg,joseph-anton-koch,joseph-anton-koch,joseph-anton-koch,joseph-anton-koch,9223372032559822082
232,57728661edc2cb38800420b1,Charlotte Posenenske,Striped Picture,https://uploads5.wikiart.org/images/charlotte-posenenske/striped-picture-1962(1).jpg,https://www.wikiart.org/en/charlotte-posenenske/striped-picture-1962,https://www.wikiart.org/en/charlotte-posenenske,striped-picture-1962(1).jpg,charlotte-posenenske,charlotte-posenenske,charlotte-posenenske,charlotte-posenenske,324798
